,answer
112,"비상장주식의 상장과 관련된 절차에 대해서 설명드리면 다음과 같은 순서로 상장이 이루어지게 됩니다. 상장 예비심사 청구증권신고서 제출기관들을 대상으로 한 수요예측공모가 결정공모주에 대한 청약 및 납입환불 상장 거래위에서 수요예측은 투자자문사 자산운용사 해외투자자등이 모여서 공모주의 가격을 결정하는 과정이며, 보통은 2일정도로 진행되는데 이 때 상장주관사의 공모관련 레터를 받은 기관투자자들이 각자 판단하는 이 공모주의 가격과 희망하는 신청수량을 적어내게 됩니다. 주간사와 예비상장기업은 이렇게 제출된 가격들을 보고 수요가 몰릴수 있는 적당한 가격으로 결정해서 공모가를 결정하게 됩니다."
113,프로세스의 순서는 일반적으로 다음 단계를 포함합니다. 회사 평가 회사는 공개할 준비가 되었는지 결정하기 위해 재무 비즈니스 모델 및 기타 요소를 평가해야 합니다. 인수 회사는 일반적으로 투자 은행인 인수자를 선택하여  프로세스를 관리합니다. 등록 회사는 에 등록하고 비즈니스 재무 및 위험에 대한 자세한 정보를 제공해야 합니다. 로드쇼 회사는 로드쇼로 알려진 일련의 회의에서 잠재 투자자에게 사업 계획과 재무를 제시합니다. 가격 책정 인수자는 시장 수요에 따라 주식의 제안 가격을 결정합니다. 할당 주식은 기관 및 개인 투자자에게 할당됩니다. 주식 상장 주식이 증권 거래소에 상장되고 거래가 시작됩니다. 이후 회사는 지속적인 규제 요구 사항을 충족하고 정기적인 재무 보고서를 제출하며 주주 관계를 관리해야 합니다. 
114,기관에게도 인기가 많다는 것은 그만큼 가치가 있다는 증거로 받아들여 집니다 기관은 개인보다 정보가 많고 전문가들이 분석을 하기 때문에 개인이 알아봐야할 정보를대신 기관이 알아보고 그 결과가 경쟁률로 나온다고 보시면 됩니다.
115,기관의 경쟁률이 높다는 것은 해당 회사의 미래가치가 높다는 것을 의미하다 보니 아무래도 시장의 관심이 높고 이로 인해서 상장을 하게 되면 수급이 많이 몰리게 됩니다. 공모주의 시가는 수급 이 거의 모든 결정을 하다 보니 관심도가 높아진 공모주가 상승할 가능성이 높기 때문에 기관경쟁률과 공모주의 흥행과 어느정도 비례관계가 형성되지 않나 생각됩니다. 
116,공모주 청약에서 증거금은 청약자가 청약서를 제출하고 난 후 공모주 신청에 참여한 금액을 증명하는 보증금입니다. 증거금은 이행보증금으로서 청약자가 청약금액을 실제로 납부하지 않아도 증거금을 납부함으로써 공모주 신청에 참여한 것으로 간주됩니다. 따라서 증거금은 청약자의 신용도나 신뢰도를 검증하기 위한 것이며 청약금액의 일부만을 내는 것은 이를 검증하기 위한 방법 중 하나입니다. 즉 공모주 청약에서 증거금을 반값만 내는 것은 청약자의 신용도를 검증하면서도 청약자들이 너무 많은 금액을 부담하지 않도록 하는 것입니다. 또한 청약금액과 증거금의 비율에 따라 증거금이 적용되지 않을 수도 있습니다. 
117,"의무보유확약이라는 것은 공모주를 배정받은 기관들이 해당 공모주를 매도하지 말고 의무적으로 보유하고 있어야 하는 것을 말하며, 여기서 의무보유확약비율이란 전체 배정되는 공모주식수에서 이렇게 의무보유확약으로 할당된 주식의 비율을 말하는 것입니다. 의무보유확약비율이 높을수록 해당 공모주가 상장시에 시장에 나오는 주식수가 적기 때문에 해당 비율이 높을수록 상장시에 더 높은 시초가격이나 혹은 더 높은 가격에 마무리가 될 가능성이 높아지게 됩니다. "
118,공모주가 첫 상장날 오르는 이유는 여러 가지가 있을 수 있지만 대표적인 이유로는 다음과 같습니다. 초기 수요 증가 공모주는 상장 첫날에만 매도되는 수요와 상대적으로 공급이 적은 상황에서 거래되기 때문에 초기 수요가 증가합니다. 이로 인해 많은 투자자들이 첫 상장날에 수익을 얻기 위해 공모주를 매수하는 경향이 있습니다. 대중적 인기 일반적으로 공모주는 대중적인 관심을 받기 때문에 상장 첫날에는 많은 투자자들이 높은 관심을 기울이며 매수 주문을 넣게 됩니다. 이는 공모주 가격 상승을 유도합니다. 할인된 가격 공모주 발행 기업은 일반적으로 상장 첫날 공모주 가격을 할인된 가격으로 제시합니다. 이로 인해 투자자들은 첫 상장날에 적은 비용으로 공모주를 매수할 수 있게 되어 공모주 가격 상승을 촉진할 수 있습니다. 이러한 이유로 공모주는 대체로 상장 첫날에는 오르는 경향이 있습니다. 그러나 이후 공모주 가격이 유지될지 혹은 하락할지는 시장 상황과 기업의 실적 등 여러 요인에 따라 결정됩니다. 따라서 공모주 투자는 상장 첫날의 가격 상승만을 기대하고 투자하는 것이 아니라 장기적인 투자 전략을 갖추는 것이 중요합니다.
119,"공모주가 첫 상장하는 날 많이 오르는 이유는 다양합니다. 일단 공모주는 처음으로 상장되는 기업이므로 새로운 기업의 등장에 대한 기대감과 관심으로 인해 많은 투자자들이 주식을 매수하기 때문입니다. 또한, 공모주 발행 시 가격이 실제 주식 시장에서 형성되는 시장가격보다 낮게 책정되는 경우가 많아 이로 인해 시장가격에 맞추기 위해 매수 주문이 증가하는 것으로 보입니다. 하지만 첫 상장 이후에는 시장 상황과 기업의 실적에 따라 주가가 변동합니다. 따라서 상장 이후 일정 기간이 지나면 주가가 상승했던 것과는 반대로 하락하는 경우가 있습니다. 이때 주가가 하락할 경우 해당 주식을 보유한 투자자들은 손실을 보게 됩니다. 그럼에도 불구하고 공모주 발행에 대한 기대감이 높아 첫 상장에서 매수하게 되는 투자자들이 많습니다. 또한 공모주가 떨어졌을 때에도 시장 상황에 따라 기회로 보고 매수하는 투자자들도 있습니다. 이러한 투자자들은 주식 시장의 흐름을 잘 파악하고 중장기적인 투자 관점에서 투자를 결정하는 경우가 많습니다."
120,공모주가 첫 상장하는 날에 주가가 상승하는 이유는 다양한 요인이 있을 수 있지만 대표적으로는 시장의 수요와 공급의 균형이 중요한 역할을 합니다. 즉 공모주에 대한 투자 수요가 높아서 발행가보다 높은 가격으로 거래되는 경우가 많습니다. 이는 공모주에 대한 기대감이나 선호도가 높아져서 수요가 증가하는 것이 원인입니다. 장기적으로 기업의 성장 가능성이 높고 안정적인 수익성을 보유한 기업의 경우 주가 하락을 기회로 삼아 저렴하게 매수하는 것이 가능하기 때문에 떨어질 때 사는 사람이 생기는 것입니다.
121,공모주 유통가능비율이라는 것은 해당 공모주에 대해서 기관들이 얼마나 의무보유확약이 걸려있는지를 나타내는 것입니다. 공모주 유통가능비율이 높을 수록 상장일에 많은 수의 주식이 나올 가능성이 높아지면서 상장일 당시 주가가 크게 상승하지 못할 가능성이 높아집니다. 반대로 유통가능비율이 낮을수록 상장일에 나올 수 있는 주식이 많지 않다보니 상승할 가능성이 높아지게 되는 것입니다. 그렇기에 이 유통가능비율은 곧 상장일 당일의 가격의 상승의 향방을 어느정도 예측할 수 있는 지표로서 활용할 수 있다고 보시면 좋을 것 같습니다.
122,가격이 좀 더 상승할 확률이 올라가기 때문입니다. 상장일에 유통가능 비율 즉 사고 팔 수 있는 주식의 수가 작을 수록 가격이 좀 더 높게 올라갈 확률이 높아지게 됩니다. 그 이유는 상장일에 공모주가 좋아보여 구매를 하려는 사람들이 많아지면 가격은 따상을 향해 갈 것입니다. 청약을 통해 공모주를 가지고 있는 사람들은 가격이 오르고 적당하다 생각이 들면 팔려고 할 것입니다. 이때 유통비율이 높아 상장일에 청약을 통해 받은 주식을 팔 수 있는 사람이 많으면 그 많은 주식을 넘어 구매하려는 수요가 있어야 가격 상승이 되기 때문에 유통비율이 적을 수록 상장일에 주식가격이 따상을 갈 확률이 높아져서 중요하게 보는 것입니다. 
123,어떤 것이든 유통량이 초기 시세를 결정하는데 있어 중요하죠 초반에 아무 데이터도 없고 미래가치만 예상한다고 누가 비싼 돈주고 살까요? 그래서 초기에 유통량을 적정하게 원하는 가격대 오도록 정해놓는 것입니다. 어느 정도 가치가 있으면서 살만큼의 가격으로 설정되야 사람들이 몰릴테니까요.
124,해당 유통비율이 많다면 한마디로 유동성이 풍부하여 매도세가 상당하여가격이 하락할 가능성이 높기 때문이죠.
125,"공모주 상장일에 유통가능 비율은 매우 중요합니다. 유통가능 비율이란 기업이 공모주 발행 시 총 발행 주식 수 중 일부만을 유통시킬 비율을 의미합니다. 즉 유통가능 비율이 높을수록 상장 이후에도 유동성이 좋아져 투자자들이 주식을 매도하거나 매수하는 것이 쉬워지며 시장의 안정성이 높아집니다. 따라서 유통가능 비율이 높을수록 공모주의 시장 수요와 공급이 적절하게 조절되어 시장 가격이 안정적으로 형성되고 투자자들은 시장 예측 가능성을 높여주며, 기관투자자들의 참여를 촉진시키고 투자자들의 신뢰도를 높입니다. 반면 유통가능 비율이 낮을 경우 상장 이후에 주식의 유동성이 낮아져 시장 가격이 불안정하게 형성될 수 있고 투자자들은 주식 매도나 매수가 어려워지므로 투자 결정을 내리기 어려울 수 있습니다. 따라서 기업은 유통가능 비율을 결정할 때 적절한 비율을 설정하여 시장의 안정성을 높이고 투자자들의 신뢰를 얻는 것이 중요합니다."
126,그 이유는 상장 당일 많은 물량을 배정 받은 기관 투자자들이 전량 매도에 나설 수 있으므로 이렇게 되면 주가 하락의 가능성이 커지기 때문에 상장 당일 유통가능물량 비율이 중요하다고 하는 것입니다. 이 비율은 당연히 낮으면 낮을수록 좋습니다.
127,증거금을 내고 주관사에서 공모주를 배정받아 상장시기에 매도하거나 보유하여 수익을 얻는겁니다.
128,공모주란 회사가 처음으로 증권거래소에 상장하거나 추가로 자금을 모집할 때 새로 발행하는 주식을 말합니다. 이러한 공모주 발행은 일반 대중에게 공개적으로 모집되는 방식으로 이루어지기 때문에 공모주라는 용어가 사용됩니다. 공모주는 일반적으로 발행 가격보다 상장 후 시장에서 더 높은 가격으로 거래될 가능성이 높기 때문에 매력적인 투자 대상으로 여겨지기도 합니다. 공모주에 참여하기 위해서는 증권회사 또는 은행에서 계좌를 개설해야 합니다. 계좌 개설 시 공모주 참여 신청서 및 이에 필요한 서류를 제출해야 합니다. 
129,공모주 청약과 같은 경우에는 증권사에서청약신청을 통하여 하게 됩니다. 공모주 수익이 100%의 이익을 발생하게 하는 것은 아니니 공부를 하시고 투자하셔야 합니다.
130,공모는 일반에게 널리 공개하여 모집한다는 뜻입니다. 보통 기업들이 더 큰 기업으로 성장하기 위해서는 자금이 필요하게 됩니다. 그래서 기업들이 일반인들로부터 투자금을 받고 그 대가로 주식을 발행하게 되는데 이때 발행된 주식을 공모주 라고 합니다. 
131,공모주란 회사가 자금을 조달하기 위해 새로 발행하는 주식으로 일반인도 구매할 수 있습니다. 공모주가 핫하다는 것은 일반인들 사이에서 이에 대한 관심과 수요가 매우 높다는 것을 의미합니다. 따블따상은 공모주 신청 시 일정한 조건을 만족하면 공모주 배분 시 주어지는 혜택 중 하나로 일정기간 동안 보유한 공모주의 가격이 일정 수준 이상 상승했을 경우 추가적인 주식을 일정 비율로 더 받는 혜택을 말합니다. 하지만 공모주는 무조건 수익이 생기는 것은 아닙니다. 실제로는 공모주 발행가와 상장 후 시장 가격과의 차이에 따라 수익이나 손해가 발생할 수 있습니다. 또한 일반적으로 수요가 많아 공모주 신청에 성공하더라도 모든 신청자에게 공모주가 배분되지는 않습니다. 이러한 이유로 일부 투자자들은 공모주 투자를 지양하기도 합니다. 또한 공모주에 대한 관심과 수요가 매우 높아지면서 경쟁률이 높아져 공모주 신청에 실패할 가능성도 높아졌기 때문입니다. 
132,공모주는 회사가 자금을 모으기 위해 새로 발행하는 주식을 의미합니다. 이러한 공모주는 일반적으로 처음 상장되는 회사의 경우 발행되며 발행 시에는 일반 투자자들도 구매할 수 있습니다. 공모주 발행은 회사의 성장과 확장을 위한 자금 조달 방법 중 하나입니다. 따상이란 신규로 상장된 종목이 첫 거래일 공모가 대비 두 배로 시초가가 형성된 뒤에 가격제한폭인 30%까지 상승해 마감하는 것을 뜻하는 은어입미다. 쉽게 말하면 기존 공모가의 2배 하고도 30%더 수익이 나는 것 입니다. 이런 것이 무조건 발생하는 것은 아닙니다. 시장상황에 따라서 첫날부터 공모가 아래로 하락하는 경우도 있습니다. 
133,기관 경쟁률 잘보시고 경쟁 좋은곳 청약하시면 됩니다. 회사 비전있는지도 보고 적자회사인지 미래 가치 있는 곳인지 잘 생각하여 청약하시면 됩니다.
134,공모주의 가격은 상장회사의 상장진행을 하게 되면서 결정되는데 상장절차에 대해서 안내드리면 다음과 같습니다. 상장 예비심사 청구 증권신고서 제출 수요예측 기관 공모가 결정 청약과 납입 환불 상장과 거래 공모주의 가격 결정은 3번째 단계인 기관의 수요예측을 통해서 결정되는데 신규 상장업체에 대한 수요예측은 투자자문사 자산운용사 해외투자자등이 모여서 공모주의 가격을 결정하게 됩니다. 일반적으로는 2일정도로 진행되며 이 때 상장주관사의 공모관련 레터를 받은 기관투자자들이 각자 판단하는 이 공모주의 가격과 희망하는 신청수량을 적어내게 됩니다. 그럼 주간사와 예비상장기업은 레터를 보낸 기관들이 제출한 공모 희망 가격들을 보고 수요가 몰릴 수 있는 적당한 가격으로 결정해서 공모가를 결정하게 됩니다. 레터를 받은 기관은 공모주관사가 토대로 한 재무평가서 그리고 동업계 영업이익률등의 보고서를 보고서 회사의 재무상태며 이익금상태 기술력등을 종합적으로 고려해 가격을 써내게 됩니다.
135,공모 기간 동안 공모 가격을 결정하는 프로세스는 일반적으로 여러 단계를 포함합니다. 평가 제공되는 회사는 일반적으로 투자 은행이나 인수자를 고용하여 회사의 가치와 제공되는 주식의 가치를 결정합니다. 시장 분석 인수자는 회사 주식에 대한 수요와 공모 가격에 영향을 미칠 수 있는 전반적인 시장 상황을 결정하기 위해 시장 분석을 수행합니다. 예약 구축 인수자는 평가 및 시장 분석에서 수집한 정보를 사용하여 주식을 판매할 수 있는 가격 범위를 설정합니다. 이 범위는 일반적으로 잠재 투자자에게 전달되며 해당 투자자는 해당 범위 내에서 입찰합니다. 입찰을 모으는 과정을 수요예측이라고 합니다. 가격 설정 주문 예약이 완료되면 인수자는 접수된 입찰을 분석하고 주식 및 기타 요인에 대한 수요에 따라 최종 공모 가격을 설정합니다. 이 프로세스의 목표는 투자자들에게 매력적인 공모 가격을 설정하는 동시에 회사를 위한 충분한 자금을 창출하는 것입니다. 너무 높은 공모 가격은 투자자를 단념시키고 주식에 대한 수요 부족을 초래할 수 있는 반면 너무 낮은 공모 가격은 회사가 가질 수 있는 것보다 적은 자금을 조달하는 결과를 초래할 수 있습니다. 
136, 공모주의 가격은 일반적으로 다음 단계를 포함하는 수요예측 과정을 통해 결정됩니다 주식을 발행하는 회사는 오퍼링 관리를 돕기 위해 한 명 이상의 인수자를 고용합니다 인수자는 회사의 재무 실적 시장 상황 및 투자자 수요와 같은 요소를 기반으로 주식의 초기 가격 범위를 결정합니다 그런 다음 인수자는 기관 및 개인 투자자에게 제안을 마케팅하여 초기 가격 범위 내에서 다양한 가격 수준으로 주식에 대한 입찰을 요청합니다 인수인은 접수된 입찰가에 따라 주식의 최종 제안 가격을 결정합니다 이 가격은 일반적으로 모든 주식을 투자자에게 판매할 수 있는 가장 높은 가격으로 설정됩니다 최종 가격이 결정되면 입찰 및 기타 기준에 따라 주식이 투자자에게 할당됩니다 마지막으로 해당 주식은 한국거래소에 상장되고 2차 시장에서 거래되기 시작하며 가격은 수요와 공급에 의해 결정됩니다 전반적으로 공모주식의 가격은 다양한 가격 수준에서 주식을 매수하려는 투자자의 의지를 사용하여 주식의 공정한 시장 가치를 설정합니다 감사합니다 
137,공모주는 기업이 처음으로 증권시장에 상장할 때 발행되는 주식으로 공모주의 가격은 다음과 같은 요인들에 따라 결정됩니다. 공모주의 가격은 수요와 공급에 따라 결정됩니다. 수요가 공급보다 높을 경우 가격은 상승하고 공급이 수요보다 높을 경우 가격은 하락합니다. 일반적으로 공모주는 수요가 매우 높아서 경매 방식으로 가격을 결정합니다.공모주 발행 이전에 기업의 실적 성장 전망 경쟁력 등을 분석하여 투자자들이 해당 기업의 성장 가능성을 평가하게 됩니다. 따라서 기업의 성장 전망이 밝을 경우에는 공모주의 가격이 높아지는 경향이 있습니다. 공모주 발행 시기의 시장 환경도 공모주의 가격에 영향을 미칩니다. 예를 들어 경기가 좋을 때는 투자 수요가 높아지므로 공모주의 가격도 높아질 가능성이 있습니다. 공모주의 발행 주식 수도 가격 결정에 영향을 미칩니다. 발행 주식 수가 적을 경우 가격이 높아질 가능성이 큽니다. 기업의 평판이 좋을수록 투자자들이 해당 기업에 대한 신뢰도가 높아지므로 공모주의 가격도 높아질 가능성이 있습니다. 이러한 요인들이 결합하여 공모주의 가격이 결정됩니다.
138,공모주 발행가 공모가는 증권거래소에 상장된 후 예상되는 가격보다 비교적 낮게 책정되는 경우가 많기 때문에 공모주청약의 수요가 클 때가 많습니다.
139,균등비례방식은 총 공모주가 100백만주라고 가정할때 100만명이 청약을 하면 1주씩 받는 제도입니다. 따라서 1명이 더많은 금액을 청약한다고해서 더 많이 받고 하지 않습니다. 
140,일반적으로 균등 배정과 비례 배정을 50%씩 나누어서 하게 되는데요. 이렇게 균등 배정을 하는 이유는 소액 투자자들도 주식 배정을 받을 수 있도록 제도적인 장치를 마련한 것인데요. 예를 들어 균등 배정 물량이 100만주 이고 청약 신청한 투자자가 50만명이면 1인당 2주씩 균등하게 배정을 받게 됩니다.
141,"주관사계좌에 공모가의 증거금 50%를 입금 후 정해진 날에 신청하시면 됩니다. 그러면 균등배분, 비례배분으로 각각 50%씩 배정하게 되며 균등배분은 골고루 명수에 따라 나눠 가지는 것이고, 비례배분은 많은 수의 청약을 넣은 사람들이 더 가져가는 방식입니다. "
142,"공모주 청약에서 균등비례방식은 모든 청약자들에게 동일한 비율로 주식을 배정하는 방식입니다. 예를 들어 균등비례방식으로 청약을 진행하는 A가 1,000주의 주식을 발행한다고 가정해보겠습니다. 이 경우 총 청약 수량이 10,000주이면 각 청약자는 주문 수량의 1:10 비율로 배정을 받게 됩니다. 이때 청약을 진행한 모든 투자자들 중 최소 청약 수량 이상을 신청한 투자자들은 배정을 받을 수 있습니다. 예를 들어 최소 청약 수량이 100주일 경우 청약 수량이 100주 미만인 투자자들은 배정을 받지 못하게 됩니다. 그러나 청약 수량이 초과될 경우에는 이후에는 무작위 추첨을 통해 배정을 받는 경우도 있습니다. 따라서 균등비례방식은 모든 청약자들에게 동등한 기회를 제공하지만 주식 배정이 보장되지는 않는 방식입니다. "
143,먼저 균등비례방식의 경우 해당 청약 경쟁률에 따라 1~2주를 배정 받을 수 있습니다. 물론 청약 증권사가 확보한 물량과 경쟁률에 따라 배정 물량이 차이가 날 수 있습니다.
144,공모주는 균등배분과 비례배분 두가지 방식으로 계산하여 배정을 해줍니다. 원하시는 공모주를 신청만 하시면 두가지 방식모두 자동 계산되어 배정이되므로 따로 신청해야하는지 고민은 안하셔도 됩니다. 계산 방식을 설명드리자면 공모주의 일반 배정 물량의 반은 균등 반은 비례로 배정되어 계산이 됩니다. 일반배정은 개인투자자들에게 할당된 물량을 말합니다. 균등은 균등물량 청약자수비례는 비례물량 내가 청약한 금액 총 청약금액으로 계산이 됩니다. 기업이 1주당 100원인 주식을 1000주를 일반배정으로 공모한다면 500주는 균등 500주는 비례로 배정이 됩니다. 여기서 청약자 수가 100명 들어온 총청약 금액은 100만원이라고 가정하고 100주 1만원 를 청약을 했다면 균등으로 500주 100명 5주비례로 500주 1만원 100만원 500주 1 5주계산되어져 균등 5주 비례로 5주 총 10주를 받게됩니다. 
145,수수료는 청약시 지급합니다. 
146,공모주 청약 시에는 소액의 수수료가 발생합니다. 미래에셋에서는 수수료가 2천원입니다. 물론 물량을 배정 받지 못하면 수수료는 대부분 돌려 줍니다 
147,청약수수료는 일반적으로 청약 신청 금액에 일정 비율로 책정되며 청약을 취소하거나 배정되지 않은 경우에도 수수료가 부과될 수 있습니다. 미래에셋은 수수료가 2천원입니다. 
148,청약수수료의 경우 청약한 주식을 1주라도 받게 된다면 나가게 됩니다. 청약을 해도 주식을 받지 않는다면 수수료없이 청약한 금액 전액을 환급받습니다.
149,공모주 비례배정 방식에 있어서 많은 돈을 납부한다면 청약에 있어서 유리하니 참고하시길 바랍니다.
150,공모주의 경우 균등배정과 비례배정이 있으며 균등배정은 청약수에 따라 배정되고 비례규정은 금액이 높을수록 배정받는 주식수가 늘어나는 시스템입니다.
151,말씀처럼 경쟁률이 높은 경우 청약 금액이 클 수록 많이 배정 받게 되어 유리합니다. 물론 비례로 1 2주씩 배정 받는 경우가 있는데 주당 공모가가 LG에너지솔루션 정도가 아니라면 실익이 크지 않습니다. 가령 주당 1만원의 공모주의 경쟁률이 1:100이며 100만원에 1주를 배정 받는 것입니다.
152,비례배정의 경우 청약수가 높을수록 배정이 많이 되는 시스템입니다. 균등배정은 랜덤으로 지급하는 것이기 때문에 운을 따르는 시스템입니다. 대부분 두 가지를 모두 사용하며 각각 배정된 수량이 다릅니다.
153,예전에는 금액을 많이 넣을수록 많이 받는 비례 배분 방식이었는데요. 2021년부터 균등배정제도가 생기면서 이제는 금액에 관계없이 균등하게 배분하는 균등배분방식도 많이 사용되고 있습니다. 일반적으로는 공모주 물량의 절반은 균등 절반은 비례로 배분하게 되는데요. 운용 가능한 금액을 확인하여 어떤 방식으로 배정 받는 것이 자신에게 유리한지를 계산한 다음 청약하는 것이 좋습니다.
154,균등배정에는 금액 상관이 없고 비례배정의 경우 더 많은 금액을 청약한 투자자가 더 많이 배정받게 된다고 볼 수 있습니다. 추가적으로 궁금하신 점은 의견으로 남겨주시면 제가 아는 범위 내에서 성의껏 답변을 드려볼 수 있도록 하겠습니다.
155,공모주는 일반적으로 경쟁을 통해서 주간사를 결정합니다. 그리고 상장 시 청약이 가능한 증권사들을 결정하는데 주간사 외 2-3군데 더 선정하여 공모주를 모집하고 상장 절차를 거치게 됩니다. 상장 당일 기관투자가들 수요 조사로 정해진 주당 공모가로 상장을 진행하며 상장가 대비 100% 상장 후 30% 상승 후 거래를 마치는 경우를 세칭 따상 이라고 합니다. 
156,네. 상장이 된 이후에는 모든 증권사에서 거래가 가능하며 주간사 선정의 경우 입찰방식으로 진행됩니다. 공모주 청약이 증권사 입장에서 무조건 좋은 것은 아닐 수 있는 것이 흥행에 실패하면 나머지 주식 중 일정부분 증권사에서 매입을 해야하는 부담이 있기 때문에 선정에 어려움이 있습니다.
157,청약과 같은 경우에는 주관사가 있습니다. 하지만 유가증권시장에 상장한다면 당연히 모든 증권사에서 거래할 수 있으니 참고하시길 바랍니다. 
158,공모주의 경우 청약이 종료된 후 증권거래소에 상장되면 모든 주식거래소에서 거래가 가능합니다 공모주가 상장되면 일반적으로 유가증권시장 코스닥시장 등에서 거래가 가능하며 종목에 따라 거래소가 달라질 수 있습니다 청약주간사는 일반적으로 해당 주식의 발행기관이 선정하며 발행기관은 이를 증권거래소에 공시합니다. 주간사는 발행기관의 심사 기준에 따라 선정되며 대개는 신용도 인력 시스템 등의 기준을 충족해야 합니다. 주간사는 공모주의 신규 발행 및 관련 주식 거래 등을 담당하며 공모주 청약 및 주식 할당 등에 관련한 역할을 수행합니다.
159,공모주는 주식시장에 상장을 한다는 것이기에 상장후에는 주식시장을 거래하는 모든 증권사에서 거래가 가능하게 됩니다. 하지만 상장시 주관사가 나누어지는 것은 해당 상장회사가 상장시에 본인들 회사를 상장시킬때까지 조언 및 투자 그리고 상장시에 투자자 모집까지 이러한 부수적인 것들을 잘해줄 곳을 선택한 후 상장을 진행하기 때문입니다. 그래서 상장 주관사는 상장시에 많은 금액의 상장성공 보수를 받게 됩니다. 
160,주간사는 상장사가 증권사의 상장 기록과 공모시 제시하는 수수료 등을 종합하여 주간사를 상장하고 상장시에는 모든 증권사에서 거래를 진행할 수 있습니다.
161," 각 기업 공모 시 청약을 진행하는 주간사는 늘 다른데요, 그렇기 때문에 원하시는 기업의 공모주 청약할 때 주간사가 어디인지 살피시고 청약일정 이전에 해당하는 증권사 계좌개설을 진행해 주시는 것이 좋습니다. 간혹 증권사 중에는 청약 중에 개설한 계좌도 청약에 참여할 수도 있고 하지만 청약 전일까지 개설한 계좌에 한해서 청약이 가능한 증권사가 대부분입니다. 정확한 조건은 각 기업의 증권신고서나 투자설명서를 확인하시는 것이 가장 정확합니다."
162,공모주 청약 일정에 맞춰서 특정 증권사를 통하여 신청을 하고 주식을 배정 받으시면 됩니다. 우선 공모주 일정을 확인하고 미래에셋 계좌를 먼저 개설하셔야 합니다. 이후에 공모 금액을 투자하고 주식을 배정받으시면 됩니다.
163,공모주 청약의 경우에는 신규 공모주에 대한 청약일정이 나오게 되면 그 공모주 청약을 하게 되는 증권사 계좌를 만드시고 그 후에 공모주 청약을 위해서 증거금을 입금해주셔야 합니다. 그 후 공모주에 대한 청약 증거금을 입금하시게 되면 비례 혹은 균등 분배 방식에 의해서 신규 상장되는 공모주를 배정 받으실 수 있게 됩니다.
164,청약일전에 공모주상장 주관증권사의 증권계좌를 개설후 청약에 필요한 증거금을 예치후 청약을 신청하면 됩니다 그럼 청약경쟁률에 따라 균등하게 배정받게 됩니다.
165,공모주 청약과 같은경우에는 자본금을 납입하여 해당 주식에 대한 청약을 진행함으로써 배정받게 되오니 참고하시길 바랍니다.
166,공모주 청약을 주관하는 주관회사에 계좌를 개설하시고 위탁종합이나 중개형 청약일에 청약대금을 넣어두신 후 청약 증거금률 50%이 돈으로 청약을 하시면 완료됩니다.
167,스팩은 일종의 특수목적 인수회사로 주로 기업 인수합병을 통해 새로운 기업을 창출하는 과정에서 사용됩니다. 스팩은 일반적으로 투자자들에게 공개적으로 주식을 발행하여 자금을 모으고 이를 활용하여 새로운 기업을 인수하거나 합병합니다. 스팩공모주는 일반 공모주와는 차이 일반 공모주는 이미 사업을 운영하고 있는 기업이 새로 주식을 발행하여 자금을 모으는 것이지만 스팩공모주는 아직 사업을 시작하지 않은 회사이며 기업을 인수하거나 합병하여 새로운 사업을 시작할 목적으로 주식을 발행하는 것입니다. 스팩공모주의 장점 투자자들은 인수될 기업을 사전에 파악할 수 있으므로 높은 수익을 예상할 수 있습니다. 스팩공모주는 일반적으로 고정 수익률을 제공하므로 투자자들은 높은 이자 수익을 기대할 수 있습니다. 인수될 기업의 평가를 높게 설정하여 스팩공모주 자체의 가치를 높일 수 있습니다. 스팩공모주의 단점 스팩공모주는 아직 사업을 시작하지 않은 회사이므로 투자자들은 불확실성이 높은 투자를 하게 됩니다. 인수될 기업이 예상보다 성장하지 않을 경우 스팩공모주의 가치가 하락할 수 있습니다. 스팩공모주는 인수된 기업의 성장에 대한 지원을 보장하지 않습니다.
168,스팩주는 Special Purpose Acquistion Company의 약자로 한국에서는 공모주라고도 합니다. 스팩주는 일반적으로 기업 인수합병   을 통해 새로운 기업을 찾아내기 위해 설립된 회사입니다. 스팩주는 주식시장에 상장한 이후에는 자금 조달을 위한 본래의 목적을 달성하기 위해 대부분의 자산을 유동화하고 해산됩니다. 이때 해산되는 스팩주는 인수합병한 기업이 새로운 이름으로 상장되는 방식으로 공모주를 선보입니다. 스팩주는 기업인수합병   에 따른 위험성을 낮추고 더욱 효율적인 기업 인수합병을 이룰 수 있도록 설계되었습니다. 따라서 스팩주는 일반적으로 고위험 고수익 투자 상품으로 여겨집니다. 
169,기업상장의 우회방법으로 스팩과 합병하여 상장이 가능합니다. 그 목적으로 발행하는 주식이 스팩입니다.
